"Modelo","AUC_Min","AUC_Media","AUC_Max","Sens_Media","Spec_Media"
"Regressao Logistica",0.656213017751479,0.752785448170064,0.835897435897436,0.696771130104463,0.666666666666667
"Random Forest",0.572485207100592,0.723223025787128,0.810650887573965,0.507312440645774,0.742564102564103
"XGBoost",0.615976331360947,0.724538680692527,0.827065527065527,0.639031339031339,0.70051282051282
"LightGBM",0.607100591715976,0.720247644093798,0.791715976331361,0.659449192782526,0.685128205128205
